onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0	0.214	PURS	808.9	425.2	818.4	444.4	0.397	57.148	22.754	23.776
0.214	0.033	SACC	816.1	442.7	678.3	175.7	5.575	353.317	137.934	180.99
0.247	0.015	HPSO	679.2	174.8	693.9	227.6	1.019	115.166	81.698	71.063
0.262	0.179	PURS	693.8	227.6	689	197.7	0.563	58.07	14.514	16.026
0.441	0.017	SACC	686	198.5	599	240.7	1.794	172.904	111.825	109.282
0.458	0.012	LPSO	599.5	240.4	636.1	235.8	0.686	98.82	64.975	60.774
0.47	0.23	PURS	636	236.6	622	242.7	0.282	36.362	13.681	14.609
0.7	0.827	FIXA	621.1	243	602.1	236.7	0.372	56.291	15.069	16.893
1.527	0.013	SACC	598.4	236.4	534.8	268.8	1.325	147.706	123.71	112.244
1.54	0.144	PURS	536	269.7	553.4	250.3	0.482	77.812	23.627	27.052
1.684	0.016	SACC	556.1	249.2	689.7	241.4	2.484	240.709	175.762	161.037
1.7	0.013	HPSO	689.7	244.2	622.9	257.3	1.263	144.648	110.786	103.691
1.713	0.219	PURS	622.3	257.5	628.7	268.5	0.235	51.659	14.203	16.358
1.932	0.012	SACC	624.6	268.9	556.1	266.4	1.272	149.733	114.628	113.05
1.944	0.013	LPSO	554.7	264.6	589.6	235.1	0.848	105.539	79.13	70.2
1.957	0.222	PURS	589.3	235.3	592.7	259.8	0.459	47.984	19.227	19.703
2.179	0.014	SACC	594.9	258.4	657.7	204.4	1.536	179.297	115.181	113.742
2.193	0.278	FIXA	657.4	205.4	638.1	212.3	0.382	84.219	26.105	28.394
2.471	0.014	SACC	634.9	214.4	551.7	266.1	1.817	184.854	148.503	135.954
2.485	0.207	PURS	551.7	264.7	598	255.7	0.875	77.977	21.059	23.335
2.692	0.013	SACC	602.1	255.4	661.9	289.5	1.277	153.416	119.495	120.422
2.705	0.013	LPSO	659.5	293.8	623.2	280	0.721	101.453	89.993	75.851
2.718	0.131	PURS	623.4	279.2	629.1	275.7	0.123	63.446	22.618	25.988
2.849	0.234	FIXA	629	276.6	628.2	287.9	0.211	59.095	18.109	19.662
3.083	0.023	SACC	631	285.3	850.7	235.9	4.18	346.075	180.596	185.871
3.106	0.181	FIXA	851.1	234.7	846	242.6	0.174	69.065	18.364	21.626
3.287	0.027	SACC	843.7	243.9	704.2	189.1	2.782	341.012	165.929	174.556
3.314	0.174	PURS	704.4	189.9	688.4	215.3	0.556	73.415	18.529	21.304
3.488	0.014	SACC	685.1	216.7	609.8	273.6	1.752	192.763	135.529	131.387
3.502	0.01	LPSO	610.8	273.7	638.9	255.4	0.623	93.786	75.944	65.259
3.512	0.145	PURS	639	255.4	623	263.2	0.33	67.214	22.378	24.848
3.657	0.055	FIXA	623.8	265.7	616.4	264.6	0.139	57.076	17.365	20.112
3.712	0.108	PURS	615.9	262.9	608.3	256.2	0.188	51.02	18.653	20.069
3.82	0.094	FIXA	608.6	255.9	609.2	259.1	0.059	69.769	19.735	23.738
3.914	0.022	SACC	611.6	256.7	617.3	148.2	2.015	159.079	109.822	102.159
3.936	0.23	PURS	617.5	147.9	612.5	174.5	0.503	73.806	17.112	20.007
4.166	0.013	SACC	611.1	178.5	600.7	248.5	1.313	144.681	119.151	108.197
4.179	0.277	FIXA	601.5	247.9	605.4	222.7	0.473	67.694	23.465	24.574
4.456	0.018	SACC	609.3	222.5	799.5	203.3	3.546	326.384	212.796	203.351
4.474	0.014	LPSO	800.1	206.2	735.9	226	1.247	147.147	101.225	96.61
4.488	0.082	PURS	735.3	224.6	763.6	220.3	0.532	57.563	22.215	25.805
4.57	0.077	FIXA	764.2	220.7	758.3	208.1	0.257	41.195	21.848	20.425
4.647	0.026	SACC	755	208.9	646.3	190.8	2.046	285.393	123.464	156.061
4.673	0.128	FIXA	648.3	193.1	645.7	206.6	0.256	63.298	22.789	25.476
4.801	0.065	PURS	646.3	206.8	638.9	198.7	0.204	48.985	18.459	18.854
4.866	0.013	SACC	634.8	199.3	585.1	259.1	1.443	154.296	130.22	125.17
4.879	0.057	PURS	586.5	260.7	608.1	241.2	0.541	87.69	29.271	33.561
4.936	0.212	FIXA	607.9	240.5	601.9	243.2	0.121	78.947	20.953	23.533
5.148	0.02	SACC	602.2	239.3	598.9	99.3	2.599	258.517	134.333	138.801
